iter	Passed	Remaining
780	8902	13895
781	8914	13884
782	8924	13871
783	8935	13859
784	8946	13846
785	8957	13834
786	8966	13820
787	8981	13814
788	8993	13804
789	9004	13791
790	9014	13778
791	9026	13768
792	9037	13755
793	9047	13742
794	9057	13729
795	9071	13721
796	9083	13710
797	9094	13698
798	9106	13687
799	9118	13678
800	9130	13667
801	9140	13654
802	9151	13641
803	9161	13628
804	9174	13619
805	9187	13609
806	9198	13597
807	9207	13582
808	9217	13570
809	9229	13559
810	9241	13548
811	9250	13534
812	9263	13524
813	9276	13515
814	9285	13501
815	9297	13491
816	9308	13478
817	9318	13465
818	9327	13450
819	9337	13436
820	9349	13426
821	9359	13413
822	9372	13404
823	9386	13396
824	9396	13383
825	9408	13372
826	9418	13358
827	9431	13349
828	9439	13334
829	9450	13321
830	9462	13311
831	9473	13299
832	9483	13285
833	9494	13274
834	9506	13263
835	9520	13256
836	9529	13241
837	9542	13232
838	9555	13222
839	9565	13209
840	9575	13195
841	9591	13190
842	9603	13181
843	9615	13170
844	9629	13162
845	9640	13150
846	9654	13142
847	9668	13134
848	9680	13123
849	9692	13113
850	9704	13102
851	9717	13094
852	9726	13079
853	9737	13067
854	9748	13054
855	9761	13046
856	9771	13032
857	9784	13023
858	9794	13009
859	9806	12999
860	9816	12985
861	9827	12973
862	9838	12962
863	9849	12949
864	9859	12936
865	9870	12924
866	9880	12912
867	9893	12902
868	9904	12890
869	9918	12882
870	9929	12871
871	9939	12857
872	9950	12845
873	9960	12832
874	9972	12822
875	9982	12808
876	9994	12797
877	10006	12787
878	10016	12773
879	10026	12760
880	10038	12750
881	10050	12739
882	10062	12728
883	10073	12717
884	10086	12707
885	10095	12693
886	10106	12681
887	10117	12669
888	10129	12658
889	10139	12645
890	10151	12634
891	10164	12625
892	10180	12619
893	10191	12608
894	10203	12597
895	10214	12586
896	10224	12572
897	10235	12560
898	10246	12549
899	10259	12538
900	10271	12528
901	10286	12521
902	10297	12510
903	10309	12498
904	10323	12491
905	10341	12487
906	10352	12475
907	10364	12465
908	10374	12451
909	10384	12438
910	10393	12424
911	10402	12410
912	10415	12400
913	10424	12385
914	10437	12376
915	10449	12366
916	10460	12354
917	10473	12344
918	10486	12335
919	10499	12325
920	10508	12311
921	10519	12299
922	10530	12287
923	10539	12273
924	10549	12260
925	10562	12250
926	10572	12238
927	10584	12227
928	10594	12213
929	10604	12201
930	10616	12190
931	10629	12180
932	10637	12165
933	10650	12155
934	10662	12145
935	10673	12133
936	10687	12125
937	10700	12115
938	10713	12105
939	10725	12094
940	10737	12084
941	10747	12071
942	10760	12061
943	10769	12047
944	10784	12040
945	10794	12027
946	10805	12014
947	10816	12002
948	10827	11990
949	10835	11976
950	10847	11965
951	10862	11957
952	10873	11946
953	10883	11933
954	10894	11921
955	10905	11909
956	10917	11899
957	10928	11886
958	10939	11874
959	10951	11863
960	10961	11851
961	10973	11840
962	10986	11831
963	10999	11820
964	11009	11808
965	11021	11797
966	11031	11784
967	11042	11772
968	11053	11760
969	11066	11750
970	11075	11737
971	11087	11725
972	11095	11711
973	11107	11700
974	11118	11688
975	11132	11680
976	11143	11668
977	11154	11656
978	11165	11644
979	11176	11632
980	11188	11622
981	11199	11609
982	11209	11596
983	11222	11587
984	11233	11576
985	11244	11563
986	11257	11553
987	11269	11542
988	11280	11531
989	11290	11518
990	11302	11508
991	11312	11494
992	11323	11482
993	11332	11469
994	11343	11457
995	11354	11445
996	11365	11434
997	11377	11422
998	11391	11414
999	11400	11400
1000	11411	11388
1001	11420	11374
1002	11431	11363
1003	11441	11350
1004	11452	11338
1005	11464	11327
1006	11477	11317
1007	11485	11303
1008	11497	11292
1009	11507	11279
1010	11521	11271
1011	11530	11257
1012	11543	11246
1013	11554	11235
1014	11568	11226
1015	11579	11214
1016	11591	11203
1017	11603	11192
1018	11612	11179
1019	11621	11165
1020	11634	11155
1021	11647	11145
1022	11658	11134
1023	11669	11122
1024	11681	11111
1025	11692	11099
1026	11703	11088
1027	11715	11077
1028	11727	11066
1029	11738	11054
1030	11746	11040
1031	11759	11030
1032	11770	11018
1033	11781	11006
1034	11790	10993
1035	11803	10983
1036	11813	10970
1037	11823	10957
1038	11834	10945
1039	11843	10932
1040	11854	10920
1041	11868	10911
1042	11880	10900
1043	11891	10889
1044	11903	10878
1045	11916	10868
1046	11925	10855
1047	11937	10843
1048	11946	10830
1049	11956	10818
1050	11971	10809
1051	11982	10798
